TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,CityName,Country,Region,Continent,Attraction,AttractionType,VisitMode,User_Avg_Rating,Attraction_Avg_Rating,Season
3,70456,2022,10,640,5,1801,144,21,4,Sacred Monkey Forest Sanctuary,8,1,5.0,4.267085922109411,0
8,7567,2022,10,640,5,3509,27,12,1,Sacred Monkey Forest Sanctuary,8,3,5.0,4.267085922109411,0
9,79069,2022,10,640,5,630,21,15,1,Sacred Monkey Forest Sanctuary,8,2,5.0,4.267085922109411,0
10,31019,2022,10,640,3,5464,132,6,4,Sacred Monkey Forest Sanctuary,8,2,3.0,4.267085922109411,0
15,43611,2022,10,640,3,2847,144,21,4,Sacred Monkey Forest Sanctuary,8,1,3.0,4.267085922109411,0
18,43471,2022,10,640,5,4201,145,12,1,Sacred Monkey Forest Sanctuary,8,3,5.0,4.267085922109411,0
22,76492,2022,9,640,4,191,134,7,0,Sacred Monkey Forest Sanctuary,8,1,4.0,4.267085922109411,0
23,20977,2022,10,640,5,1384,144,21,4,Sacred Monkey Forest Sanctuary,8,3,5.0,4.267085922109411,0
28,18655,2022,9,640,3,1339,125,18,0,Sacred Monkey Forest Sanctuary,8,1,3.0,4.267085922109411,0
29,62907,2022,9,640,5,81,145,12,1,Sacred Monkey Forest Sanctuary,8,1,3.9285714285714284,4.267085922109411,0
31,86054,2022,9,640,5,4094,144,21,4,Sacred Monkey Forest Sanctuary,8,1,4.666666666666667,4.267085922109411,0
33,41979,2022,9,640,5,5236,7,1,3,Sacred Monkey Forest Sanctuary,8,1,5.0,4.267085922109411,0
39,38726,2022,9,640,3,965,100,14,3,Sacred Monkey Forest Sanctuary,8,3,3.75,4.267085922109411,0
43,67147,2022,8,640,4,837,144,21,4,Sacred Monkey Forest Sanctuary,8,1,4.5,4.267085922109411,2
44,2307,2022,9,640,4,1702,7,1,3,Sacred Monkey Forest Sanctuary,8,1,4.0,4.267085922109411,0
45,3660,2022,9,640,5,1983,7,1,3,Sacred Monkey Forest Sanctuary,8,1,5.0,4.267085922109411,0
46,50130,2022,9,640,3,2601,144,21,4,Sacred Monkey Forest Sanctuary,8,3,3.0,4.267085922109411,0
54,30450,2022,8,640,4,4901,144,21,4,Sacred Monkey Forest Sanctuary,8,1,4.0,4.267085922109411,2
56,82637,2022,7,640,4,29,7,1,3,Sacred Monkey Forest Sanctuary,8,2,4.0,4.267085922109411,2
61,33716,2022,7,640,5,19,143,10,2,Sacred Monkey Forest Sanctuary,8,4,5.0,4.267085922109411,2
